,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
129,grindavik,20,IS,1600112710,87,63.84,-22.43,46.4,6.93
130,kaitangata,3,NZ,1600112711,62,-46.28,169.85,46.99,4.0
131,rantepao,93,ID,1600112712,84,-2.97,119.9,63.3,0.85
132,mahajanga,20,MG,1600112713,41,-15.72,46.32,77.0,8.05
133,nagato,20,JP,1600112423,83,34.38,131.2,71.6,5.82
134,estacion coahuila,5,MX,1600112716,10,32.19,-115.0,98.6,4.41
135,namibe,94,AO,1600112717,83,-15.2,12.15,65.41,4.7
136,valdosta,90,US,1600112620,88,30.83,-83.28,78.8,8.05
137,itoman,75,JP,1600112719,78,26.12,127.67,80.6,5.82
138,esperance,40,AU,1600112720,93,-33.87,121.9,51.8,16.11
139,guerrero negro,0,MX,1600112684,27,27.98,-114.06,94.21,3.22
140,kruisfontein,0,ZA,1600112722,60,-34.0,24.73,55.99,8.01
141,allingabro,0,DK,1600112725,88,56.47,10.33,64.4,1.12
142,magadan,6,RU,1600112726,60,59.57,150.8,47.01,6.04
143,torbay,90,CA,1600112604,93,47.67,-52.73,66.99,20.8
144,sosnovo-ozerskoye,8,RU,1600112728,90,52.52,111.54,36.37,5.37
145,maceio,75,BR,1600112465,74,-9.67,-35.74,78.8,10.29
146,hobart,90,AU,1600112652,54,-42.88,147.33,53.6,11.41
147,klaksvik,96,FO,1600112731,93,62.23,-6.59,46.4,6.93
148,ribeira grande,20,PT,1600112732,52,38.52,-28.7,69.8,10.29
149,sistranda,75,NO,1600112733,76,63.73,8.83,50.0,4.7
150,ponta do sol,20,PT,1600112734,69,32.67,-17.1,75.2,5.82
151,marzuq,0,YE,1600112736,42,14.4,46.47,82.54,6.42
152,saint-augustin,25,CA,1600112737,60,51.23,-58.65,62.01,22.68
153,nuuk,75,GL,1600112501,33,64.18,-51.72,42.8,14.99
154,chapais,75,CA,1600112739,57,49.78,-74.85,50.0,12.75
155,swinoujscie,51,PL,1600112740,87,53.91,14.25,64.99,2.24
156,dikson,100,RU,1600112741,87,73.51,80.55,42.96,12.33
157,qasigiannguit,5,GL,1600112743,86,68.82,-51.19,32.0,6.93
158,lompoc,1,US,1600112745,68,34.64,-120.46,66.99,11.41
159,bondo,100,CD,1600112747,97,3.81,23.69,70.09,0.51
160,suntar,100,RU,1600112748,72,62.14,117.63,48.58,2.62
161,beringovskiy,100,RU,1600112749,92,63.05,179.32,45.64,7.38
162,tura,100,IN,1600112750,97,25.52,90.22,72.79,4.0
163,cherskiy,86,RU,1600112751,76,68.75,161.3,43.9,6.55
164,baoma,100,CN,1600112752,96,31.49,106.11,66.76,1.97
165,conakry,96,GN,1600112754,85,9.54,-13.68,80.6,14.14
166,shalinskoye,38,RU,1600112755,90,55.72,93.76,43.47,1.63
167,jamestown,40,US,1600112551,59,42.1,-79.24,62.01,13.87
168,riyadh,0,SA,1600112643,14,24.69,46.72,89.6,4.7
169,katsuura,75,JP,1600112758,88,35.13,140.3,73.4,5.82
170,carnarvon,45,AU,1600112759,100,-24.87,113.63,68.0,8.05
171,wladyslawowo,0,PL,1600112760,77,54.79,18.4,63.0,2.24
172,ushtobe,100,KZ,1600112761,38,45.25,77.98,61.77,4.45
173,cockburn town,100,TC,1600112683,76,21.46,-71.14,83.7,9.78
174,orlik,100,RU,1600112765,83,52.52,99.83,36.77,3.06
175,alofi,75,NU,1600112766,73,-19.06,-169.92,73.4,11.41
176,port alfred,0,ZA,1600112767,67,-33.59,26.89,57.69,17.38
177,darnah,0,LY,1600112769,78,32.77,22.64,75.54,5.32
178,port lincoln,100,AU,1600112771,86,-34.73,135.87,52.09,7.43
179,maldonado,20,UY,1600112772,66,-34.67,-54.92,53.6,16.11
180,rocha,0,UY,1600112773,62,-34.48,-54.33,52.25,10.74
181,kefamenanu,47,ID,1600112774,92,-9.45,124.48,65.43,2.68
182,yadrin,37,RU,1600112776,84,55.94,46.21,48.33,9.69
183,asau,0,RO,1600112777,89,46.43,26.4,59.0,3.85
184,vaitape,0,PF,1600112547,73,-16.52,-151.75,79.14,11.48
185,harper,36,LR,1600112779,87,4.38,-7.72,75.99,10.11
186,hualmay,23,PE,1600112780,70,-11.1,-77.61,65.61,9.6
187,ust-nera,75,RU,1600112781,80,64.57,143.2,37.2,3.67
188,olafsvik,0,IS,1600112782,74,64.89,-23.71,47.64,4.29
189,ambovombe,45,MG,1600112783,58,-25.17,46.08,73.85,10.0
190,walvis bay,0,NA,1600112784,50,-22.96,14.51,57.2,5.82
191,santa cruz,75,BO,1600112750,42,-17.8,-63.17,86.0,27.51
192,agadez,0,NE,1600112787,10,19.75,10.25,94.75,10.07
193,syracuse,40,IT,1600112788,94,37.09,15.28,77.0,5.82
194,codrington,100,AU,1600112789,92,-38.27,141.97,45.54,6.62
195,mangualde,55,PT,1600112790,63,40.6,-7.76,73.0,1.99
196,cidreira,100,BR,1600112792,58,-30.18,-50.21,57.72,16.17
197,roma,1,US,1600112525,48,43.21,-75.46,64.4,13.87
198,beloha,72,MG,1600112795,51,-25.17,45.05,76.86,11.34
199,saint-louis,69,SN,1600112796,63,16.33,-15.0,91.4,2.24
200,nouadhibou,0,MR,1600112797,61,20.93,-17.03,82.4,13.87
201,petersburg,90,US,1600112798,64,37.23,-77.4,77.0,8.05
202,severo-kurilsk,13,RU,1600112799,83,50.68,156.12,50.25,13.67
203,wana,0,PK,1600112800,32,32.3,69.57,77.79,3.8
204,ewa beach,1,US,1600112801,58,21.32,-158.01,82.4,5.82
205,hovd,0,MN,1600112803,55,48.01,91.64,45.18,1.5
206,mareeba,75,AU,1600112804,88,-17.0,145.43,68.0,10.29
207,izyum,0,UA,1600112805,58,49.21,37.25,58.59,5.41
208,marrakesh,0,MA,1600112806,51,31.63,-8.01,84.2,11.41
209,ukiah,1,US,1600112807,40,39.15,-123.21,81.0,4.7
210,hue,20,VN,1600112808,88,16.47,107.6,78.8,2.24
211,pitimbu,75,BR,1600112810,69,-7.47,-34.81,80.6,14.99
212,auki,100,SB,1600112812,84,-8.77,160.7,78.44,5.3
213,alenquer,94,BR,1600112813,66,-1.94,-54.74,89.6,10.29
214,moindou,0,NC,1600112814,88,-21.69,165.68,62.6,3.91
215,espanola,1,US,1600112815,21,35.99,-106.08,73.0,5.82
216,avera,75,US,1600112816,55,33.19,-82.53,89.6,6.93
217,portland,90,US,1600112586,77,45.52,-122.68,62.6,2.95
218,tottori,35,JP,1600112818,80,35.5,134.23,63.82,3.36
219,tuatapere,45,NZ,1600112819,82,-46.13,167.68,41.85,8.75
220,hasaki,75,JP,1600112821,94,35.73,140.83,69.8,4.7
221,sabha,0,LY,1600112822,29,27.04,14.43,82.27,3.98
222,saint simons,20,US,1600112823,74,31.14,-81.39,87.8,9.17
223,calarasi,0,MD,1600112824,49,47.25,28.31,69.8,5.82
224,iralaya,75,HN,1600112825,88,15.0,-83.23,80.6,8.12
225,miandrivazo,0,MG,1600112826,62,-19.52,45.47,77.18,1.25
226,leningradskiy,100,RU,1600112827,95,69.38,178.42,40.15,9.28
227,asfi,0,MA,1600112830,86,32.3,-9.24,70.07,9.8
228,puerto carreno,91,CO,1600112832,60,6.19,-67.49,87.57,2.04
229,labuan,40,MY,1600112833,83,5.28,115.24,78.8,4.7
230,tulsa,1,US,1600112227,54,36.1,-95.9,82.4,5.82
231,zhob,0,PK,1600112835,34,31.34,69.45,78.82,9.08
232,khatanga,80,RU,1600112836,84,71.97,102.5,45.45,3.09
233,foix,36,FR,1600112838,20,42.83,1.58,72.0,7.65
234,roald,90,NO,1600112839,93,62.58,6.13,50.0,9.17
235,bambous virieux,40,MU,1600112840,64,-20.34,57.76,68.0,14.99
236,arlington,40,US,1600112824,51,32.74,-97.11,88.0,11.41
237,souillac,40,MU,1600112842,64,-20.52,57.52,68.0,14.99
238,yilan,40,TW,1600112843,88,24.76,121.75,82.0,1.12
239,sharlyk,74,RU,1600112844,89,52.92,54.75,47.1,12.1
240,shingu,13,JP,1600112846,74,33.73,135.98,66.52,4.85
241,huilong,99,CN,1600112847,93,31.81,121.66,75.0,2.64
242,biak,100,ID,1600112848,80,-0.91,122.88,75.74,8.9
243,mayo,1,US,1600112849,50,38.89,-76.51,79.0,9.17
244,port-gentil,40,GA,1600112617,88,-0.72,8.78,77.0,12.12
245,suez,0,EG,1600112851,71,29.97,32.53,76.35,11.05
246,burnie,99,AU,1600112852,74,-41.07,145.92,50.0,5.99
247,emerald,3,AU,1600112854,87,-23.53,148.17,59.0,4.7
